Provinsi,Padi,Jagung,Kedelai,Kacang Tanah,Ubi Kayu,Ubi Jalar,Bawang Merah,Cabai Besar,Cabai Rawit,Tomat
Aceh,1634639.60,57835.80,47910,2617,48129,6577,10136,58383,51687,11706
Sumatera Utara,2004142.51,956938.92,6549,5007,1065047,78546,53775,208623,78679,202170
Sumatera Barat,1317209.38,437814.33,353,4739,145847,117036,200366,115761,35118,97288
Riau,217458.87,989.61,2145,557,100623,4468,329,14094,6672,150
Jambi,298149.25,9719.01,6732,1583,49714,50623,13135,59381,11307,23731
Sumatera Selatan,2552443.19,316505.64,16818,2107,248867,22564,1125,22551,11377,7863
Bengkulu,271117.19,36934.89,5388,68,2530,914,990,48768,16273,30852
Lampung,2485452.78,1129111.67,9815,2985,5643185,32030,1762,34550,10921,15934
Kepulauan Bangka Belitung,70496.25,348.85,1,201,96957,1858,208,5139,3875,1147
Kepulauan Riau,855.01,12.84,15,53,12976,941,33,2969,1632,425
Jawa Barat,9113573.08,491527.65,98938,35480,1299196,402162,170510,339018,136914,290813
Jawa Tengah,9618656.81,2128959.17,129794,67553,2863289,131572,530831,175434,184995,78682
DI Yogyakarta,556531.03,197154.61,18822,85209,758185,2068,29809,38378,15933,949
Jawa Timur,9789587.67,3991492.48,344998,108913,1618905,282499,473618,127373,654415,93123
Banten,1603247.00,9393.64,7291,3671,51273,12688,1190,6386,3993,1190
Bali,618910.81,50117.54,7259,5313,105753,16579,23146,11243,29025,12137
Nusa Tenggara Barat,1419559.84,1019224.88,125036,33632,65201,10835,222550,16145,62691,28514
Nusa Tenggara Timur,731877.74,285344.59,3615,11002,516662,42551,11410,3177,9069,10544
Kalimantan Barat,711898.01,44252.44,2637,508,234953,22995,104,2791,6140,4108
Kalimantan Tengah,381189.55,35440.16,1262,303,59451,6463,34,1711,6961,3505
Kalimantan Selatan,1016313.55,135325.90,10536,2491,42221,14920,392,8977,11758,5067
Kalimantan Timur,244677.96,14554.97,1519,635,52072,12221,70,5857,8255,8955
Kalimantan Utara,29967.31,385.10,2239,81,24663,1568,88,4161,5820,6008
Sulawesi Utara,232884.76,166579.90,6685,2470,58061,21851,4986,9042,17371,66711
Sulawesi Tengah,867012.77,63514.84,13270,2449,47246,19816,4356,6338,21757,16952
Sulawesi Selatan,5090637.23,1033341.18,67192,13845,292849,49535,183210,17816,26430,63374
Sulawesi Tenggara,530029.08,78350.27,12799,3239,127301,16477,1015,2395,4393,4871
Gorontalo,234392.86,669890.37,3203,113,2429,535,346,909,13032,2808
Sulawesi Barat,311072.46,7966.76,4218,277,24332,5485,693,2462,3315,1477
Maluku,116803.67,14691.93,707,700,58575,16603,1011,2029,3596,4024
Maluku Utara,28050.80,10328.93,475,0,0,0,1178,2822,3483,4846
Papua Barat,26926.93,4753.17,1439,82,4132,2969,104,911,3802,2214
Papua,286279.80,16119.68,3522,759,10346,16194,301,2607,4216,5437
